file_name,Mean_color,Color_list,Description
image300.png,#d0dced,"#d1ddef, #66a750, #989a9c, #9fb5ab, #848e94",Error generating caption
image301.png,#b37564,"#b37564, #1c1c12, #5d4c3c, #ead8c5, #b7b3b6",Error generating caption
image315.png,#c7beb1,"#c7beb1, #3b362d, #7b766d, #655b52, #6a6454",Error generating caption
image329.png,#fbfaf2,"#fbfaf2, #3d2725, #857c7c, #cc9c70, #84847c",Error generating caption
image117.jpg,#1c1c1b,"#1c1c1b, #dfdfde, #535252, #808080, #6c6c6b",Error generating caption
image103.jpg,#e5c09d,"#e3be9b, #641f2b, #9c5f5e, #97623c, #7b453a",Error generating caption
image107.jpg,#746e5f,"#736e5f, #d4cab5, #16130d, #b3b4a7, #aaabad",Error generating caption
image1.jpg,#faf9f2,"#faf9f2, #7f7a74, #b6b0a6, #94948c, #989484",Error generating caption
image113.jpg,#f3d3bf,"#f3d3bf, #c84044, #e76b6d, #ba7641, #708887",Error generating caption
image311.png,#dddde2,"#dddde3, #5e5e65, #95959b, #b4a378, #7c747c",Error generating caption
image305.png,#dfd9c6,"#dfd9c6, #151412, #828179, #717259, #746366",Error generating caption
image339.png,#7a838a,"#79838a, #4b1a0b, #8c501c, #c28e7f, #323e46",Error generating caption
image338.png,#d0cec5,"#d0cdc4, #154869, #916d32, #5d3a21, #7292aa",Error generating caption
image304.png,#f2c48c,"#f1c38b, #1d1d1d, #a2a19a, #787775, #8c8b8c",Error generating caption
image310.png,#cfcecb,"#cfcecc, #7c776d, #948e83, #a19b91, #8c8c7f",Error generating caption
image112.jpg,#e3d5d5,"#e3d5d6, #43629c, #a98b4e, #928a8d, #805b46",Error generating caption
image106.jpg,#272627,"#272627, #b7a195, #6d6667, #7b829b, #829cb9",Error generating caption
image110.jpg,#76881a,"#76881a, #f3ec17, #b0b515, #c1ce29, #899954",Error generating caption
image104.jpg,#3c4730,"#3c4730, #cbd48d, #7f8c58, #98a76e, #88988c",Error generating caption
image138.jpg,#f3e9d6,"#f3e9d6, #222222, #a0978b, #866a62, #8a7464",Error generating caption
image306.png,#395453,"#395453, #e7d0d0, #cb545f, #7e8887, #9c6863",Error generating caption
image312.png,#503432,"#503432, #dac0c7, #b5bed8, #a86e6d, #a993a6",Error generating caption
image299.png,#ececf1,"#ececf1, #091a26, #e60d79, #888e8a, #7c7c7c",Error generating caption
image298.png,#1b1b1b,"#1b1b1b, #c9c9c9, #797979, #5c5c5c, #646464",Error generating caption
image313.png,#ccc3b6,"#ccc3b6, #36342d, #7a776f, #665a52, #6f6453",Error generating caption
image307.png,#def5f7,"#def4f6, #41c2d8, #87d2de, #67e6f7, #58b4b1",Error generating caption
image139.jpg,#d8c79c,"#d8c79c, #37382d, #8a7f60, #746447, #776d44",Error generating caption
image105.jpg,#f3b51e,"#f3b51d, #e6d1b5, #e8c473, #98884e, #be8112",Error generating caption
image111.jpg,#c5bc79,"#c4bc78, #f9f9f1, #e4d097, #dbd496, #dcd1a9",Error generating caption
