file_name,Mean_color,Color_list
image142.jpg,#272e36,"#272e35, #f5eada, #926350, #a48d86, #a17c5a"
image156.jpg,#2f5a77,"#2e5a76, #cdb732, #af5f9a, #9e4059, #eaebea"
image168.jpg,#bfbbb2,"#bfbbb2, #342e29, #77706a, #5c534e, #635d53"
image140.jpg,#fbf3f3,"#fbf3f3, #312d2a, #989592, #7c7473, #7c7c74"
image154.jpg,#66687b,"#636679, #959597, #26273a, #8c949c, #2b304f"
image356.png,#ede9e0,"#eee9e0, #746f6a, #a4a099, #8c847f, #8c8c7c"
image183.jpg,#8b97a9,"#8b97a8, #7f4125, #40638f, #ddd7de, #b73d78"
image197.jpg,#464035,"#443f35, #716047, #9d7e51, #81746c, #827c6f"
image342.png,#c4ac90,"#c6b196, #a25437, #b67858, #b2634c, #846d50"
image343.png,#e7d7be,"#e7d7be, #0c0b09, #a29073, #887555, #786044"
image196.jpg,#dec2a6,"#dec2a6, #4e3f36, #8a7464, #745b4d, #7a644b"
image182.jpg,#101110,"#101110, #dedcce, #80887f, #747984, #976920"
image357.png,#eef0f8,"#eff0f8, #828989, #b8bbc0, #a4a4ac, #a5aca4"
image155.jpg,#826259,"#826259, #e8c2a5, #21120f, #cda387, #c2a9a5"
image141.jpg,#f4e7c9,"#f4e7c9, #1f1d1b, #9b907b, #7c6c5e, #83765b"
image169.jpg,#24252a,"#26272c, #d5cec5, #808081, #755c5a, #836f5b"
image145.jpg,#180f0a,"#170e0a, #eddcc7, #844d3f, #9e8b77, #9d8058"
image151.jpg,#1c1c1c,"#1c1c1c, #e7e7e7, #646464, #8b8b8b, #747474"
image179.jpg,#fbf3f3,"#fbf3f3, #312d2a, #989592, #7c7473, #7c7c74"
image353.png,#956e62,"#966e62, #50352c, #cba689, #bb9c7b, #b8938c"
image186.jpg,#41403b,"#41403b, #b2b2b2, #8c8c8b, #737373, #848384"
image192.jpg,#f2e6d9,"#f3e8da, #9a8570, #c0ab96, #9c9484, #9c8c84"
image347.png,#75746e,"#75736e, #cdcbc0, #c2c0b3, #c2a493, #473822"
image346.png,#918f8a,"#918f8a, #6d222f, #d6ccc8, #694444, #c4ccc4"
image193.jpg,#77794c,"#77794c, #131526, #d9cec7, #9fa5ad, #aebfaa"
image187.jpg,#c2bebe,"#c4c1c2, #a49b96, #9b9695, #e5dfdf, #aba49c"
image352.png,#ede9e8,"#eeeae9, #786064, #bba6a9, #978e8a, #919794"
image178.jpg,#f3ebe4,"#f3ebe4, #0d0c0c, #95918f, #7c7474, #7c7c74"
image150.jpg,#e7dac7,"#18120e, #e7dac7, #90837c, #746460, #766c5c"
image144.jpg,#e0be95,"#e1bf95, #190d0a, #9c805e, #773727, #847164"
image152.jpg,#efe4c8,"#efe5c8, #656154, #7b786f, #9f9988, #88877a"
image146.jpg,#e1d1b9,"#e1d1ba, #100b08, #958571, #74634f, #7c6c54"
image191.jpg,#d6d4cf,"#d6d4cf, #473637, #9c5545, #e48a4e, #726c68"
image344.png,#d591a7,"#d692a8, #2a252f, #88676d, #763c54, #6e5550"
image350.png,#d7cbb0,"#d7cbb0, #1e1a13, #8d836d, #726750, #6c5b47"
image185.jpg,#25262f,"#25272f, #c89fbf, #7b7ca5, #6c677f, #828494"
image211.jpeg,#b5a58b,"#b5a58b, #25242e, #5b4429, #68666a, #765f36"
image10.jpg,#1b100e,"#1b100e, #ce973f, #6f4819, #8c6c34, #845c44"
image184.jpg,#0d0d0d,"#181818, #eeeeee, #999999, #b4b4b4, #848484"
image351.png,#f0e5d2,"#f0e5d2, #3d312d, #be5256, #a89084, #8f9959"
image345.png,#878276,"#878277, #dfdfe0, #2a2f27, #c8c4b6, #443c34"
image190.jpg,#a4917a,"#383c45, #cbb9a1, #6c706f, #62513c, #745d3f"
image147.jpg,#e0e2e2,"#e0e3e2, #917c7e, #9390a7, #8baab6, #afb0ad"
image153.jpg,#c0c8b5,"#c0c8b5, #27341b, #88946c, #56624d, #646454"
image207.jpeg,#181820,"#181820, #cbb8a0, #7b7d79, #645c6e, #666754"
image176.jpg,#b8bbbb,"#b8baba, #2e2f32, #6e6f72, #53565c, #5c545c"
image162.jpg,#3f3f3f,"#414141, #e3e3e3, #6a6a6a, #939393, #848484"
image189.jpg,#e0e2e2,"#e0e2e2, #814c52, #a9697e, #ae9996, #7bc1d6"
image348.png,#c1beb8,"#c0beb8, #34342f, #7c796f, #645c51, #676552"
image360.png,#565556,"#565557, #e3dce6, #918c94, #a8a1ad, #ad9fa4"
image200.jpg,#2b2723,"#2b2723, #af998f, #8998a3, #795b47, #949484"
image212.jpeg,#cfcec7,"#cfcec7, #393631, #888a88, #917e51, #696055"
image201.jpg,#3c332d,"#3c332d, #dcc2a2, #d0b391, #877a6d, #a49494"
image361.png,#17180c,"#17180c, #c5823e, #4b7c3d, #623f1a, #5c6c54"
image349.png,#cacaca,"#cecece, #535353, #848484, #6c6c6c, #747474"
image188.jpg,#626670,"#676973, #c5babf, #1d2f3d, #abb4bd, #9da5be"
image163.jpg,#fbfafa,"#fbfafa, #3e3c3d, #9c9a9c, #7d7c7c, #7c7477"
image177.jpg,#d9d9c9,"#d9d9c9, #3e3c3c, #72716e, #7c7474, #747464"
image149.jpg,#eed1bc,"#eed1bc, #120b08, #796052, #978174, #846c5c"
image161.jpg,#262528,"#242427, #e5e5e6, #5d5d5f, #888888, #747474"
image175.jpg,#e81f1f,"#e81f1e, #352721, #e2c750, #b6883f, #a99294"
image203.jpg,#1f222a,"#1f222a, #9b998f, #74838c, #526983, #5c4243"
image202.jpg,#31251d,"#31251d, #bda996, #836a4f, #989f95, #889197"
image174.jpg,#5584f3,"#5584f3, #d2c2cc, #070810, #645d49, #9fc9f7"
image160.jpg,#dcdcdd,"#18181a, #e5e5e6, #646366, #8a8a8c, #747474"
image148.jpg,#efeee4,"#efeee4, #1e1e1c, #a1a197, #7c746c, #7c7c6c"
image208.jpeg,#c0ac90,"#c0ac91, #232642, #6f696f, #4f4851, #6c5938"
image209.jpeg,#28252e,"#28252e, #c5af90, #644826, #7c6139, #6f696e"
image164.jpg,#182237,"#182237, #e3d1b8, #d30714, #e9b223, #3c6296"
image170.jpg,#373637,"#373737, #d9d3ca, #9fa0a0, #8e919e, #ad5a54"
image158.jpg,#15151f,"#15151a, #e4e3e2, #696968, #8b8b94, #847c68"
